2026-03-15 03:51:30 | INFO    | myelomemory.data.loaders |   CTRPv2: mapped columns → []
2026-03-15 03:51:32 | INFO    | myelomemory.data.loaders | Drug sensitivity matrix: 962 cell lines × 2 drugs
2026-03-15 03:51:32 | INFO    | myelomemory.data.preprocessors |   Lineage labels: 367/367 matched
2026-03-15 03:52:44 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:52:44 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:52:44 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:52:44 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:52:44 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:52:45 | INFO    | myelomemory | >>> STAGE START: data_prep
2026-03-15 03:52:45 | INFO    | myelomemory.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-03-15 03:52:46 | INFO    | myelomemory.data.loaders | Loaded proteomics: 375 cell lines, 12558 proteins
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders | After coverage filter (70%): 8001 proteins retained
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders | Mapped 8001/8001 UniProt IDs to gene symbols
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders |   chromatin_profiling: indexed by BroadID (ACH format)
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders |   chromatin_profiling: 897 lines, 42 features
2026-03-15 03:52:47 | INFO    | myelomemory.data.loaders | Loading STRING PPI network from data/raw/string_ppi.txt
2026-03-15 03:52:50 | INFO    | myelomemory.data.loaders |   STRING scores on 0-1000 scale — normalizing to 0-1
2026-03-15 03:52:50 | INFO    | myelomemory.data.loaders | PPI edges after confidence filter (>=0.7): 467610
2026-03-15 03:52:51 | INFO    | myelomemory.data.preprocessors | Harmonizing multi-omics data
2026-03-15 03:52:51 | INFO    | myelomemory.data.preprocessors |   ID mapping: 2013 CCLEName → ModelID entries
2026-03-15 03:52:51 | INFO    | myelomemory.data.preprocessors | Cell lines in common across modalities: 367
2026-03-15 03:52:57 | INFO    | myelomemory.data.loaders | Loading drug sensitivity data
2026-03-15 03:52:58 | INFO    | myelomemory.data.loaders |   GDSC: 387626 records, columns: ['DATASET', 'COSMIC_ID', 'DRUG_ID', 'MIN_CONC', 'MAX_CONC', 'RMSE_PUBLISHED', 'Z_SCORE_PUBLISHED', 'IC50_PUBLISHED']
2026-03-15 03:52:58 | INFO    | myelomemory.data.loaders |   GDSC: mapped columns → ['cell_line_id', 'drug_name', 'ic50']
2026-03-15 03:53:03 | INFO    | myelomemory.data.loaders |   CTRPv2: 6239426 records, columns: ['experiment_id\tqc_type\tnum_conc_pts\tcpd_delta_sum\tqc_delta_penum\tqc_delta_last\tcpd_avg_pv\tcpd_conc_umol\tmaster_cpd_id']
2026-03-15 03:53:03 | INFO    | myelomemory.data.loaders |   CTRPv2: mapped columns → []
2026-03-15 03:53:05 | INFO    | myelomemory.data.loaders | Drug sensitivity matrix: 962 cell lines × 2 drugs
2026-03-15 03:53:06 | INFO    | myelomemory.data.preprocessors |   Lineage labels: 367/367 matched
2026-03-15 03:53:06 | INFO    | myelomemory.data.preprocessors | PPI-proteomics overlap: 7308 proteins matched
2026-03-15 03:53:06 | INFO    | myelomemory.data.preprocessors | MultiOmicsDataset: 367 samples, 7853 proteins, 42 epigenomic features, 467610 PPI edges
2026-03-15 03:53:06 | INFO    | myelomemory.data.preprocessors | Splits: train=257, val=55, test=55
2026-03-15 03:53:06 | INFO    | myelomemory | Checkpoint saved: checkpoints/data_ready.pt
2026-03-15 03:53:06 | INFO    | myelomemory | <<< STAGE END: data_prep (0.4 min)
2026-03-15 03:53:06 | INFO    | myelomemory | === Pipeline stage: vae_pretrain ===
2026-03-15 03:53:06 | INFO    | myelomemory | >>> STAGE START: vae_pretrain
2026-03-15 03:53:06 | INFO    | myelomemory | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-03-15T08:53:06.017679+00:00)
2026-03-15 03:53:57 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:53:57 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:53:57 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:53:57 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:53:57 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:53:58 | INFO    | myelomemory | === Pipeline stage: vae_pretrain ===
2026-03-15 03:53:58 | INFO    | myelomemory | >>> STAGE START: vae_pretrain
2026-03-15 03:53:58 | INFO    | myelomemory | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-03-15T08:53:06.017679+00:00)
2026-03-15 03:54:00 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 1/100 — train_loss=1.9492 val_loss=791743.8125 recon=1.9176 kl=0.9573 kl_weight=0.0600
2026-03-15 03:54:01 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:01 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 2/100 — train_loss=1.9963 val_loss=475.1937 recon=1.8320 kl=1.5058 kl_weight=0.1400
2026-03-15 03:54:02 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:03 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 3/100 — train_loss=1.8204 val_loss=9.5574 recon=1.6347 kl=0.9853 kl_weight=0.2200
2026-03-15 03:54:03 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:04 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 4/100 — train_loss=1.7743 val_loss=13.5065 recon=1.5267 kl=0.9153 kl_weight=0.3000
2026-03-15 03:54:04 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 5/100 — train_loss=1.6800 val_loss=3.0044 recon=1.4166 kl=0.7620 kl_weight=0.3800
2026-03-15 03:54:05 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:05 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 6/100 — train_loss=1.5494 val_loss=2.5404 recon=1.3104 kl=0.5565 kl_weight=0.4600
2026-03-15 03:54:06 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:07 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 7/100 — train_loss=1.4619 val_loss=2.0763 recon=1.2320 kl=0.4518 kl_weight=0.5400
2026-03-15 03:54:07 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:08 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 8/100 — train_loss=1.3998 val_loss=1.7139 recon=1.1797 kl=0.3736 kl_weight=0.6200
2026-03-15 03:54:08 | INFO    | myelomemory | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-03-15 03:54:09 | INFO    | myelomemory.models.vae | [vae_pretrained] Epoch 9/100 — train_loss=1.3241 val_loss=1.7003 recon=1.1208 kl=0.3040 kl_weight=0.7000
